Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Ryan Landry,20287584,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"System support – help desk, Security, Web development","Blackout Games, HCC - Hamilton City Council",Industry project,Design Factory,Placed,2024 S1,15/06/1990,23/02/2024
Jennifer Kirby,20230334,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Networking, Data analytics","IT Partners, Enlighten Design, CTEK",Industry project,Classroom project,Placed,2024 S1,12/02/1991,6/02/2024
Alexa Wagner,20248916,Female,International,C grade,Bachelor of Applied IT,Software Engineering,"Other, UX/UI design","Enlighten Design, HCC - Hamilton City Council",Internal client internship/project,Industry project,For Review,2021 S1,11/11/1990,
Mary Jensen,20263334,Female,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Networking, Web development, Security, Other",Tuatahi First Fibre,Internship,Internal client internship/project,For Review,2020 S2,27/05/2005,
Joseph Jenkins,20202192,Male,International,A grade,Master of Applied IT,Software Engineering,"Web development, System support – help desk, Project management, Mobile app development, Networking",Datacom,GIG - Internal client based projects,Internal client internship/project,Placed,2022 S2,25/02/1998,6/07/2024
Donna Shaw,20291469,Male,International,A grade,Master of Applied IT,Network Engineering,"Web development, UX/UI design, Other, API development, System support – help desk",Enlighten Design,Internship,Industry project,Placed,2023 S2,15/06/2003,23/07/2024
Susan Rodriguez,20212624,Male,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Game development, Other, Web development","Fonterra, LIC",Internal client internship/project,Internship,Available,2020 S2,24/08/2006,
Corey Fox,20246457,Male,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, Networking, Security, Mobile app development, Data analytics",Fonterra,Internal client internship/project,Classroom project,Placed,2022 S1,25/11/1997,27/02/2024
Angela Chung,20260161,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, Security, Data analytics, Project management","Datacom, Gallagher, Hospital",Classroom project,GIG - Internal client based projects,For Review,2023 S1,29/01/1997,
Courtney Sutton DVM,20285686,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Security, UX/UI design, System support – help desk, Other, Mobile app development","CTEK, HCC - Hamilton City Council",Design Factory,Classroom project,For Review,2021 S2,18/11/1989,
James Tran,20207355,Female,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Mobile app development, Data analytics, Project management, Business analysis","Tuatahi First Fibre, Blackout Games, IT Partners, Datacom",Classroom project,Internship,For Review,2022 S1,15/02/1989,
Angela Bruce,20284529,Female,International,C grade,Bachelor of Applied IT,Network Engineering,UX/UI design,LIC,Classroom project,GIG - Internal client based projects,For Review,2021 S1,28/01/2000,
Shannon Davis,20269226,Female,International,B grade,Master of Applied IT,Network Engineering,Project management,"Other, Tuatahi First Fibre, HCC - Hamilton City Council, IT Partners",GIG - Internal client based projects,Classroom project,Available,2024 S1,2/04/1990,
Steven Schwartz,20274289,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Data analytics, Mobile app development, Game development, Other","Gallagher, Other, Datacom, Blackout Games",GIG - Internal client based projects,Internal client internship/project,Placed,2021 S1,25/12/2004,14/02/2024
Thomas Cohen,20236749,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Business analysis,"Hospital, Blackout Games, Other, Enlighten Design",Design Factory,Classroom project,Available,2024 S1,3/12/1989,
Samuel Smith,20227152,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Project management, Mobile app development, API development, Software testing, Networking",Waikato Regional Council,Internship,Industry project,Available,2022 S2,16/09/1993,
Michelle Sanders,20210084,Male,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Mobile app development, Game development, Other",Hospital,Industry project,Industry project,For Review,2022 S1,27/12/1998,
David Davenport,20251007,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Networking, Database","Gallagher, Tuatahi First Fibre, Hospital",Classroom project,Design Factory,Placed,2023 S1,3/02/2000,1/02/2024
Patrick Gibbs,20290349,Female,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Business analysis, Security, Data analytics",Enlighten Design,GIG - Internal client based projects,Industry project,Available,2023 S2,22/06/1991,
Valerie Brown,20257290,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, Data analytics, Project management, Security","IT Partners, Other",Internship,Internal client internship/project,Placed,2023 S1,13/09/1996,20/02/2024
Gina Mack,20278067,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Business analysis,"Fonterra, HCC - Hamilton City Council, CTEK, LIC",GIG - Internal client based projects,Internal client internship/project,Placed,2022 S1,21/04/2002,22/02/2024
Erin Walters,20259054,Female,International,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, Data analytics, Project management, Other, System support – help desk",Hospital,GIG - Internal client based projects,Design Factory,For Review,2024 S2,1/07/2005,
Juan Bennett,20224345,Male,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,"UX/UI design, Project management, Networking, Database, Web development","Tuatahi First Fibre, Datacom, HCC - Hamilton City Council",Industry project,GIG - Internal client based projects,Placed,2022 S1,26/09/2001,14/02/2024
Luke Yates,20293468,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Other, API development, Project management","IT Partners, Hospital",Design Factory,Industry project,Available,2021 S2,22/04/1991,
Christian Dawson,20283086,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"Data analytics, Database, Game development, UX/UI design",HCC - Hamilton City Council,Industry project,Internal client internship/project,For Review,2020 S1,20/01/1994,
Emily Rodriguez,20200680,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,Networking,CTEK,Design Factory,Internal client internship/project,For Review,2023 S1,18/04/1999,
Philip Garcia,20211442,Male,Domestic,C grade,Bachelor of Applied IT,Software Engineering,Business analysis,Blackout Games,GIG - Internal client based projects,Design Factory,Placed,2022 S1,7/03/1995,3/02/2024
Justin Hunt,20213538,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Game development, Web development","LIC, Datacom",Industry project,Internal client internship/project,Available,2023 S1,12/09/1989,
Julian Carlson,20242523,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Game development, Data analytics","IT Partners, Datacom",Internal client internship/project,Classroom project,Placed,2022 S2,29/11/2001,1/07/2024
Jason Maxwell,20295006,Male,International,C grade,Master of Applied IT,Software Engineering,"Database, Game development, API development","Other, Hospital, LIC",Design Factory,Industry project,Available,2023 S1,23/01/1997,
Carolyn James,20218198,Female,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Web development, System support – help desk, Data analytics","Other, Hospital, Fonterra",Internship,Internal client internship/project,For Review,2023 S2,15/12/1997,
Johnny Brown,20256973,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"UX/UI design, API development",CTEK,Classroom project,Design Factory,Placed,2024 S1,12/03/1998,11/02/2024
John Jones,20232990,Female,International,A grade,Master of Applied IT,Software Engineering,"Software testing, Project management, System support – help desk, Networking","HCC - Hamilton City Council, Hospital, IT Partners, CTEK",Design Factory,Internship,For Review,2021 S1,12/03/1997,
Kathleen Jensen,20260012,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"API development, System support – help desk","Other, IT Partners, HCC - Hamilton City Council",Internship,Classroom project,Available,2021 S1,11/06/1992,
Adam Foster,20281289,Female,International,A grade,Bachelor of Applied IT,Software Engineering,Data analytics,"IT Partners, Enlighten Design",Industry project,Internship,Available,2024 S2,24/09/2001,
Erin Cook,20285332,Female,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Security, Networking, UX/UI design, Database, Game development","Hospital, Tuatahi First Fibre, LIC, HCC - Hamilton City Council",GIG - Internal client based projects,Industry project,For Review,2022 S1,8/06/1993,
Larry Dominguez,20262784,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Web development, API development, UX/UI design, Project management, Other","Datacom, Fonterra, Other, Gallagher",Internal client internship/project,Internal client internship/project,For Review,2024 S2,30/06/1999,
James Flores,20296321,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,Networking,"Datacom, CTEK, Fonterra, HCC - Hamilton City Council",GIG - Internal client based projects,Classroom project,Placed,2023 S1,6/07/2005,20/02/2024
Rachael Nguyen,20236739,Female,International,A grade,Master of Applied IT,Network Engineering,Mobile app development,"Tuatahi First Fibre, CTEK",Design Factory,GIG - Internal client based projects,Placed,2020 S1,5/03/2002,9/02/2024
Timothy Gonzalez,20271516,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"Database, Networking","IT Partners, Datacom",Design Factory,Classroom project,Available,2023 S2,5/12/1994,
Krista Benton,20260505,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"API development, Security","Gallagher, Datacom, Tuatahi First Fibre",Internal client internship/project,GIG - Internal client based projects,Available,2023 S1,9/12/1995,
Eddie Schwartz,20253627,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Mobile app development, UX/UI design","Other, Datacom, Blackout Games, Tuatahi First Fibre",Internship,Industry project,For Review,2020 S1,17/10/2005,
Eric King,20220203,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Game development, Security, Data analytics, Networking","CTEK, Enlighten Design, Blackout Games, Tuatahi First Fibre",Classroom project,Classroom project,For Review,2021 S1,15/03/2003,
Angela Ewing,20262814,Female,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"UX/UI design, Database","Waikato Regional Council, Hospital, Other",Industry project,Design Factory,For Review,2024 S1,11/06/2002,
Tammy Kane,20254827,Male,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,Mobile app development,IT Partners,GIG - Internal client based projects,GIG - Internal client based projects,For Review,2023 S1,20/01/1990,
Heather Woodard,20270373,Male,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Other, UX/UI design, Project management, Data analytics","Hospital, IT Partners, Waikato Regional Council, Gallagher",Internal client internship/project,Internship,Placed,2024 S2,12/09/1991,11/07/2024
David Ortega,20221802,Male,International,A grade,Master of Applied IT,Database or Data Analytics,"Software testing, Networking, UX/UI design",Blackout Games,Design Factory,Classroom project,For Review,2023 S1,24/04/1990,
Maria Lucas,20298655,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"System support – help desk, Game development","IT Partners, Hospital, Enlighten Design, Datacom",Internship,Internal client internship/project,Available,2023 S1,1/02/2000,
Jessica Smith,20233913,Female,International,B grade,Master of Applied IT,Network Engineering,"Database, Web development, Data analytics","Fonterra, Tuatahi First Fibre, IT Partners, Waikato Regional Council",Design Factory,Classroom project,For Review,2023 S1,10/05/1996,
Kelly Carpenter,20275397,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,Database,"Tuatahi First Fibre, Hospital, HCC - Hamilton City Council",GIG - Internal client based projects,GIG - Internal client based projects,Placed,2021 S1,28/04/1996,17/02/2024
James Barton,20277147,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"API development, System support – help desk, Software testing, Project management","HCC - Hamilton City Council, Blackout Games, Fonterra",Internal client internship/project,Design Factory,For Review,2024 S1,31/10/2005,
Zachary Webb,20238722,Male,International,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Data analytics,"CTEK, IT Partners, Waikato Regional Council",Internship,Design Factory,For Review,2020 S2,16/12/2002,
Angelica Guerra,20295702,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,Game development,"CTEK, Waikato Regional Council, Tuatahi First Fibre",GIG - Internal client based projects,Classroom project,Placed,2022 S1,16/08/1993,28/02/2024
Grant Mueller,20268303,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,Game development,Gallagher,Classroom project,Internship,For Review,2021 S1,27/03/2005,
Brent Bowen,20259303,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Business analysis, Other, Mobile app development","Other, IT Partners, LIC, Datacom",Industry project,Internship,For Review,2020 S2,28/08/1999,
Andrew Page,20202960,Male,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Game development, Project management","LIC, IT Partners",Classroom project,Industry project,Available,2023 S1,23/06/2000,
Megan Martin,20297057,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Data analytics, Networking, Other, Business analysis","HCC - Hamilton City Council, IT Partners",Design Factory,Classroom project,For Review,2022 S2,7/02/1997,
Kristen Rivera,20255885,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Data analytics,"Tuatahi First Fibre, Blackout Games, Waikato Regional Council, Hospital",GIG - Internal client based projects,Classroom project,For Review,2020 S1,11/07/2004,
Jared Lopez,20283948,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Project management, Game development, Data analytics",Tuatahi First Fibre,Design Factory,GIG - Internal client based projects,Available,2023 S2,5/07/2003,
Omar Ware,20258926,Female,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Mobile app development, Data analytics, Web development, Database","Waikato Regional Council, Hospital",Internal client internship/project,Design Factory,Placed,2023 S2,3/06/2003,10/07/2024
Michael Harris,20298608,Female,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Software testing, System support – help desk, Business analysis, Web development","Enlighten Design, Other, LIC",GIG - Internal client based projects,Classroom project,For Review,2021 S1,7/12/1990,
Rebecca Herrera,20247945,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Web development, Other, Database",Gallagher,Internal client internship/project,Internal client internship/project,Available,2021 S1,24/11/1999,
Brian Lambert,20264157,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Web development, Security, Database, Other, Data analytics","CTEK, Other, Gallagher",Design Factory,Internal client internship/project,For Review,2024 S1,5/10/2006,
Emily Price,20251451,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,Software testing,Blackout Games,Internship,Design Factory,For Review,2021 S1,9/09/1992,
Ryan Williamson,20288288,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Software testing, Database, Data analytics, Security","Hospital, CTEK",Internal client internship/project,Industry project,For Review,2021 S2,4/12/1998,
Leslie Powers,20241049,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, System support – help desk, Security","CTEK, Enlighten Design, Fonterra",Internal client internship/project,GIG - Internal client based projects,Placed,2021 S2,24/10/1992,25/07/2024
Bruce Brooks,20218528,Female,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Database, Project management, Mobile app development",Tuatahi First Fibre,Industry project,Internship,Placed,2024 S1,9/03/2006,3/02/2024
Kyle Andrews,20255448,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,Game development,Hospital,GIG - Internal client based projects,Industry project,Placed,2020 S1,15/02/1995,23/02/2024
Mr. Thomas Arias,20222706,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"Mobile app development, Networking, API development","Enlighten Design, Fonterra",Classroom project,GIG - Internal client based projects,For Review,2024 S1,25/06/1994,
Charles Edwards MD,20207026,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Security, Networking, Database","Fonterra, Enlighten Design, Datacom",Design Factory,Design Factory,Available,2021 S2,7/01/2001,
Kari Lee,20250324,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,Software testing,"HCC - Hamilton City Council, IT Partners, Fonterra",Design Factory,Internship,Placed,2020 S1,1/01/2006,9/02/2024
Jennifer Vasquez,20293079,Female,International,A grade,Master of Applied IT,Network Engineering,"API development, Business analysis, UX/UI design, Networking","CTEK, HCC - Hamilton City Council, Waikato Regional Council, Hospital",GIG - Internal client based projects,GIG - Internal client based projects,Placed,2024 S1,27/11/2003,8/02/2024
Bradley Johnson DDS,20238284,Female,Domestic,B grade,Master of Applied IT,Software Engineering,"Database, UX/UI design, Web development, Security","Blackout Games, Waikato Regional Council, HCC - Hamilton City Council",Internal client internship/project,Classroom project,For Review,2021 S1,1/12/1989,
Joshua Jackson,20259942,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"System support – help desk, Data analytics, Web development, Software testing",CTEK,GIG - Internal client based projects,Design Factory,Available,2024 S2,28/08/2005,
Ashley Wilson,20271186,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"UX/UI design, Data analytics, Other, Game development","Datacom, Blackout Games",Industry project,Classroom project,Placed,2023 S2,15/04/2001,23/07/2024
Nicole Wolf,20257850,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Mobile app development",Waikato Regional Council,Classroom project,Internship,For Review,2022 S2,28/03/1996,
Ashley Greer PhD,20239021,Female,International,C grade,Bachelor of Applied IT,Network Engineering,"API development, Mobile app development, Other","Tuatahi First Fibre, Gallagher, Datacom",Industry project,Design Factory,Available,2020 S1,25/11/1989,
Gregory Montoya,20257549,Female,International,A grade,Master of Applied IT,Business Analysis or Project Management,Security,"LIC, Gallagher, Fonterra",Classroom project,Design Factory,Available,2024 S2,18/10/1992,
Cynthia Cochran,20277060,Female,Domestic,B grade,Master of Applied IT,Software Engineering,"Database, Project management","Other, Tuatahi First Fibre, Hospital, Enlighten Design",Industry project,GIG - Internal client based projects,Available,2020 S2,25/09/2000,
Lisa Patterson,20280760,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Networking, Project management, Data analytics, API development, Security","Enlighten Design, Gallagher",Design Factory,GIG - Internal client based projects,Placed,2022 S1,17/07/1993,21/02/2024
Robin Trujillo,20274720,Male,International,A grade,Master of Applied IT,Network Engineering,"Database, Web development, Data analytics, Other, Networking",Hospital,Design Factory,Industry project,For Review,2022 S1,27/09/2000,
Linda Jackson,20292281,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Business analysis, Networking, Data analytics, Software testing","Fonterra, Datacom, Other",Internship,Design Factory,Available,2023 S1,5/10/1998,
Derek Hodge,20289037,Male,International,A grade,Master of Applied IT,Software Engineering,"System support – help desk, Other, API development",Datacom,Internal client internship/project,Classroom project,Placed,2021 S1,17/01/1992,20/02/2024
Paul Jenkins,20207770,Female,International,A grade,Master of Applied IT,Network Engineering,"Game development, Security, Mobile app development","Fonterra, CTEK",Internal client internship/project,Classroom project,For Review,2020 S1,29/03/1998,
Beth Cline,20232725,Male,International,B grade,Master of Applied IT,Business Analysis or Project Management,API development,CTEK,Classroom project,Design Factory,Available,2020 S2,12/10/1993,
Sandra Juarez,20288635,Male,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Database, Business analysis, Project management",HCC - Hamilton City Council,Design Factory,GIG - Internal client based projects,For Review,2022 S1,2/03/2002,
Kenneth Adams MD,20259243,Female,Domestic,A grade,Master of Applied IT,Software Engineering,"Mobile app development, Database","Other, HCC - Hamilton City Council",Design Factory,Classroom project,Placed,2023 S2,17/05/1991,1/07/2024
Sheryl Davis,20267582,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,Data analytics,"Waikato Regional Council, IT Partners, Hospital",Classroom project,Internal client internship/project,Placed,2021 S2,9/04/1998,27/07/2024
Sherry Gibson,20263968,Female,International,A grade,Master of Applied IT,Network Engineering,"Security, Game development, UX/UI design",Datacom,GIG - Internal client based projects,Design Factory,Available,2023 S1,10/12/1999,
Sheila Boone,20212208,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Web development, Project management, Mobile app development","HCC - Hamilton City Council, Tuatahi First Fibre, Waikato Regional Council",Internal client internship/project,Internship,Placed,2021 S1,27/05/2004,1/02/2024
Melissa Horn,20270048,Female,International,A grade,Master of Applied IT,Software Engineering,"Database, UX/UI design, Software testing, Data analytics","Blackout Games, LIC, Hospital, Enlighten Design",Design Factory,Internship,Placed,2023 S2,3/05/2002,4/07/2024
Jeffrey Lewis,20235197,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Other, Software testing",LIC,Classroom project,Internal client internship/project,For Review,2023 S2,16/10/1999,
Gail Lane,20274205,Male,International,B grade,Master of Applied IT,Database or Data Analytics,"Security, Business analysis","Other, Enlighten Design, HCC - Hamilton City Council",Industry project,Classroom project,Available,2020 S1,26/04/2005,
Stephanie Farmer,20206021,Female,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,Other,"Waikato Regional Council, Blackout Games, Tuatahi First Fibre",Industry project,Design Factory,For Review,2024 S2,11/03/1992,
Sara Smith,20220707,Male,International,C grade,Bachelor of Applied IT,Network Engineering,"API development, Business analysis","Blackout Games, Enlighten Design",Internal client internship/project,Industry project,Placed,2020 S1,27/10/2003,22/02/2024
William Patterson,20290255,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Game development, Other, API development",Hospital,Design Factory,Classroom project,Available,2022 S2,17/04/1993,
Elizabeth Baxter,20235916,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Mobile app development, Networking, Game development, Web development","LIC, Waikato Regional Council, Gallagher",GIG - Internal client based projects,Industry project,Placed,2023 S1,24/12/1991,8/02/2024
Danielle Watson,20285054,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,Networking,"Fonterra, Gallagher, Waikato Regional Council, CTEK",Internal client internship/project,Industry project,For Review,2023 S2,9/06/1994,
Mario Barber,20298989,Female,International,B grade,Master of Applied IT,Software Engineering,Software testing,"Other, LIC, Hospital, Tuatahi First Fibre",Design Factory,Internship,For Review,2020 S1,8/10/1996,
Brandon Davis,20227973,Female,Domestic,C grade,Bachelor of Applied IT,Software Engineering,Software testing,"Gallagher, IT Partners, Waikato Regional Council, Fonterra",Internship,Internship,Placed,2020 S1,10/01/2005,2/02/2024
Kevin Stone,20258335,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Other, Business analysis",Tuatahi First Fibre,Classroom project,Classroom project,Available,2024 S2,13/02/1989,
Greg Martinez,20255353,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Database, Mobile app development, Business analysis, Web development",LIC,Internship,Design Factory,Placed,2020 S2,20/04/1993,26/07/2024
Darryl Davis,20213425,Male,International,C grade,Master of Applied IT,Database or Data Analytics,"Game development, Data analytics, UX/UI design","Datacom, HCC - Hamilton City Council, Other, Gallagher",Internship,Industry project,Available,2024 S2,25/04/1992,
Stanley Taylor,20298717,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"Data analytics, API development","IT Partners, CTEK, Gallagher",Design Factory,Design Factory,Placed,2021 S1,2/05/1993,8/02/2024
Megan Jones,20273831,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Software testing, Security","HCC - Hamilton City Council, Hospital, Tuatahi First Fibre",GIG - Internal client based projects,GIG - Internal client based projects,Available,2024 S2,3/02/1989,
Carly Bell,20227925,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"System support – help desk, Security, Data analytics",Tuatahi First Fibre,Industry project,Internship,Placed,2021 S2,15/12/1993,8/07/2024
Lisa Ramos,20228474,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, Game development, System support – help desk, Networking","Gallagher, LIC, CTEK",Internship,Design Factory,For Review,2021 S1,3/10/1991,
Brenda Martinez,20295683,Female,International,C grade,Master of Applied IT,Database or Data Analytics,Networking,"HCC - Hamilton City Council, IT Partners",Industry project,Industry project,Available,2021 S1,14/11/2001,
Jeffrey Moody,20232477,Male,International,A grade,Bachelor of Applied IT,Software Engineering,"Security, Networking, Project management","Fonterra, Hospital",Internship,Internal client internship/project,For Review,2022 S1,25/03/1998,
Danielle Burke,20294526,Male,Domestic,B grade,Master of Applied IT,Software Engineering,"Software testing, Business analysis, Game development, Security, Project management","Datacom, HCC - Hamilton City Council",Industry project,Design Factory,Available,2022 S2,1/07/1998,
Melissa Abbott,20286298,Female,International,A grade,Master of Applied IT,Software Engineering,"API development, Software testing, System support – help desk, Mobile app development, Web development",Hospital,Internal client internship/project,Industry project,Placed,2024 S2,25/01/1999,7/07/2024
Lawrence Lopez,20251347,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Database, Game development","Tuatahi First Fibre, Blackout Games, Other",Industry project,Internal client internship/project,Placed,2022 S2,10/11/1998,23/07/2024
Rachel Leon,20231370,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Project management, Networking, Web development, UX/UI design, Other","HCC - Hamilton City Council, Fonterra, Other, IT Partners",Classroom project,Classroom project,Placed,2021 S1,23/08/2005,9/02/2024
David Little,20209307,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Mobile app development, Web development, Business analysis, Networking, Data analytics","Fonterra, Tuatahi First Fibre, Enlighten Design",Classroom project,Classroom project,Available,2023 S2,12/10/2006,
Alexandria Ward,20241480,Female,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"API development, Project management",CTEK,Internship,Internal client internship/project,Placed,2024 S1,18/04/1993,21/02/2024
Ryan Fisher,20271612,Male,Domestic,A grade,Bachelor of Applied IT,Network Engineering,Mobile app development,Blackout Games,Industry project,Internal client internship/project,For Review,2022 S2,7/09/1994,
Tiffany Townsend,20202187,Female,Domestic,A grade,Master of Applied IT,Software Engineering,"API development, Networking, Other, UX/UI design, Mobile app development","Fonterra, Waikato Regional Council, Hospital, Gallagher",Classroom project,GIG - Internal client based projects,Placed,2021 S1,7/02/1991,8/02/2024
Daniel Livingston,20252163,Male,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Mobile app development, Software testing, Security, Other","Fonterra, Enlighten Design",Classroom project,Industry project,Available,2023 S2,15/01/2006,
Micheal Wang,20291987,Male,Domestic,A grade,Master of Applied IT,Software Engineering,"UX/UI design, Networking, Data analytics","CTEK, HCC - Hamilton City Council, Fonterra",Classroom project,GIG - Internal client based projects,Available,2024 S1,29/06/2002,
Joshua Jensen,20236368,Female,International,C grade,Bachelor of Applied IT,Software Engineering,"Mobile app development, Business analysis","Fonterra, HCC - Hamilton City Council, Other, LIC",Design Factory,Classroom project,For Review,2023 S2,25/08/1991,
Jorge Harris,20220365,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Security, Project management","Gallagher, Enlighten Design",Design Factory,Classroom project,For Review,2021 S1,3/12/1999,
Mark Davenport,20289267,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Project management, Database, Security","Gallagher, CTEK, Blackout Games, Other",Industry project,Internal client internship/project,Available,2023 S1,20/01/1991,
Jeffrey Ashley,20231278,Male,International,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Game development,"Datacom, HCC - Hamilton City Council",Internal client internship/project,Classroom project,Placed,2023 S2,10/10/1990,20/07/2024
Tim Wilson,20280254,Female,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Web development, Networking, System support – help desk","LIC, Fonterra, Waikato Regional Council, HCC - Hamilton City Council",Design Factory,Internal client internship/project,Placed,2023 S2,4/09/1990,15/07/2024
Patrick Yang,20215655,Male,International,B grade,Master of Applied IT,Business Analysis or Project Management,"UX/UI design, Other, API development","Waikato Regional Council, Datacom, Fonterra, HCC - Hamilton City Council",Industry project,Design Factory,Placed,2023 S1,27/03/1989,13/02/2024
Meredith Martin,20245443,Male,International,B grade,Master of Applied IT,Network Engineering,"Other, System support – help desk","Hospital, Blackout Games, IT Partners",GIG - Internal client based projects,Internship,Placed,2021 S2,7/08/2006,14/07/2024
